chapter_id,period_label,header,title,line_start,line_end,char_count_non_ws,sentence_count,mean_sentence_len,dialogue_char_ratio
107,1,第107章 散馀资贾母明大义 复世职政老沐天恩,散馀资贾母明大义 复世职政老沐天恩,3049,3068,6299,233,26.1245,0.542467
108,1,第108章 强欢笑蘅芜庆生辰 死缠绵潇湘闻鬼哭,强欢笑蘅芜庆生辰 死缠绵潇湘闻鬼哭,3069,3088,7071,318,21.3019,0.513506
109,1,第109章 候芳魂五儿承错爱 还孽债迎女返真元,候芳魂五儿承错爱 还孽债迎女返真元,3089,3111,9147,378,23.246,0.457964
110,1,第110章 史太君寿终归地府 王凤姐力诎失人心,史太君寿终归地府 王凤姐力诎失人心,3112,3129,6769,267,24.4082,0.565815
111,1,第111章 鸳鸯女殉主登太虚 狗彘奴欺天招伙盗,鸳鸯女殉主登太虚 狗彘奴欺天招伙盗,3130,3150,7390,296,24,0.398917
112,1,第112章 活冤孽妙姑遭大劫 死雠仇赵妾赴冥曹,活冤孽妙姑遭大劫 死雠仇赵妾赴冥曹,3151,3171,7044,318,21.2013,0.440091
113,1,第113章 忏宿冤凤姐托村妪 释旧憾情婢感痴郎,忏宿冤凤姐托村妪 释旧憾情婢感痴郎,3172,3191,6987,315,21.2286,0.506083
114,1,第114章 王熙凤历幻返金陵 甄应嘉蒙恩还玉阙,王熙凤历幻返金陵 甄应嘉蒙恩还玉阙,3192,3204,4991,220,21.7545,0.647165
115,1,第115章 惑偏私惜春矢素志 证同类宝玉失相知,惑偏私惜春矢素志 证同类宝玉失相知,3205,3227,6967,291,23.0034,0.478685
116,1,第116章 得通灵幻境悟仙缘 送慈柩故乡全孝道,得通灵幻境悟仙缘 送慈柩故乡全孝道,3228,3253,6884,287,23.108,0.441749
117,1,第117章 阻超凡佳人双护玉 欣聚党恶子独承家,阻超凡佳人双护玉 欣聚党恶子独承家,3254,3274,7713,334,22.1557,0.568391
118,1,第118章 记微嫌舅兄欺弱女 惊谜语妻妾谏痴人,记微嫌舅兄欺弱女 惊谜语妻妾谏痴人,3275,3297,7598,311,23.5113,0.499474
119,1,第119章 中乡魁宝玉却尘缘 沐皇恩贾家延世泽,中乡魁宝玉却尘缘 沐皇恩贾家延世泽,3298,3333,9612,403,22.928,0.426342
120,1,第120章 甄士隐详说太虚情 贾雨村归结红楼梦,甄士隐详说太虚情 贾雨村归结红楼梦,3334,3366,7791,320,23.4406,0.467719
